price,area_m2,bedrooms,bathrooms,vagas,endereco,description
458000,78,3,2,2,"Guararapes, Fortaleza",Parc de Liberte no melhor do Guararapes!!Apartamento Incrível sendo 3 quartos e 2 suítesCloset amploTodos os cômodos decorados com armários embutidos e perfeito est...
190000,147,3,3,1,"Rua Ildefonso Albano, Joaquim Tavora","APARTAMENTO PRÓXIMO AO COLÉGIO MARIA ESTER, SÃO TRÊS QUARTOS, SENDO UMA SUÍTE, BANHEIRO SOCIAL, COZINHA, ÁREA DE SERVIÇO E DCE."
600000,123,3,4,2,"Rua Doutor José Lourenço, Joaquim Tavora","Excelente apartamento, nascente localização no melhor do Joaquim Távora/Aldeota, a um quarteirão da Av. Barão de Studart e a três quarteirões da Av. Antônio Sales próximo a superme..."
590000,98,3,3,2,"Rua Silva Paulet, Aldeota","Excelente Apartamento na Aldeota Condomínio com uma localização super privilegiada, a poucos metros da Av Barão de Studart, próximo a supermercados, restaurantes, clinicas e divers..."
475000,84,3,2,2,"Parquelândia, Fortaleza","Apto com 84m², 3 quartos ( 2 suítes), wc social, cozinha, área de serviço, lazer completo, 2 vagas. -"
219000,104,3,3,2,"Cocó, Fortaleza","104m² com 3 quartos sendo 1 suite ,banheiro social,sala ampla,cozinha com armarios,área de serviço e dependencia completa.2 vagas pilotís.2 por andar. 3 andares. apto no 1ºandar.co..."
580000,100,3,4,2,"Alagadiço Novo, Fortaleza","100m3 suítes, sendo 1 reversívelDependência completaÁrea de lazer completaPiscinaSaunaAcademiaCampo gramadoEspaço kids -"
540000,94,3,3,2,"Rua Coronel Luiz David de Souza, Presidente Kennedy","Já pensou em morar num endereço onde tudo acontece? O Boulevard Parque Shopping é um complexo exclusivo da Moura Dubeux, completamente integrado ao RioMar Kennedy. O Jardim das Bro..."
800000,212,3,4,3,"Rua Geraldo Magalhães, Guararapes","Ótimo apartamento disponível para venda no Guararapes. O imóvel é bem espaçoso, são 211m², quartos amplos, tem iluminação natural, ventilado e muito aconchegante.Fica em uma lo..."
650000,90,3,3,2,"Fátima, Fortaleza","Prisma Residencial ClubeFátima, Fortaleza, CearáApartamento | 4 Dormitório(s) | 2 Vaga(s) | 1 Suíte(s) | 67,07 m² a 89,96 m²Valor: R$ 650.000,00PRISMA RESIDENCI..."
415000,77,3,3,2,"Rua Professor Jacinto Botelho, Guararapes",O apartamento está localizado no bairro Guararapes possui 77 metros quadrados com 3 quartos sendo 2 suites e 3 banheiros
390000,130,3,2,2,"Dionísio Torres, Fortaleza",
235000,64,3,2,1,"Parangaba, Fortaleza","Lindo Apartamento Projetado no Vivendas Parangaba, localizado em uma ótima região que se destaca por está próximo a diversas opções essenciais ao seu dia a dia.* Próximo ao..."
490000,72,3,3,2,"Rua Doutor Francisco Gadelha, Engenheiro Luciano Cavalcante","ISLA JARDIM EXCELENTE CONDOMÍNIO!!! APARTAMENTO com armários embutidos . Excelente localização, 72,5 m sendo 3 qtos (01 suite , 01 suite reversível), 2 banheiros, cozinha, varanda..."
Sob consulta,59 - 75,2 - 3,2,1,"Rua Barão de Aracati, Aldeota","Venha morar no coração de Aldeota, próximo a praça Luiza Távora, a praça mais charmosa de Fortaleza.Praticidade ao seu alcance pois fica próximo a universidades,restaurantes, f..."
570000,75,3,3,2,"Rua Antônio Augusto, Meireles","**ÚLTIMAS UNIDADES** Sua chance de viver no endereço mais charmoso de Fortaleza, no coração da Praia de Iracema.Área do apartamento: 75m²3 quartos (..."
2931567,271,4,4,4 - 5,"Rua Silva Paulet, Meireles","Informações:  Preço: A partir de R$ 2.931.566,78 Unidades disponíveis: 17 Torres: 01 Vagas: 4 ou 5 Suítes: 4 Localização: Rua Dr. Castro Medeirinhos, 439 -..."
330000,70,3,1,2,"Rua Antônio Fortes, Engenheiro Luciano Cavalcante","Espetacular apartamento no bairro Engenheiro Luciano Cavalcante de 70 metros com três quartos com uma suíte, banheiro social e uma vaga de garagem próximo a Unifor, shopping Iguate..."
415000,118,3,2,2,"Mucuripe, Fortaleza","Apartamento bem localizado próx. Farias Brito dom luiz 3 qts/1suite Dce VARJOTA, semi mobiliado sofa mesa jantar geladeira gelagua cama Apt muito novo"
470000,73,3,3,2,"Centro, Fortaleza","Vivenda Barão do Rio tem uma ótima localização, vizinho ao Colégio Farias Brito, Bancos, Restaurantes, Universidade Federal e Estadual Escola Técnica Federal, Praças. Próximo ao Ce..."
110000,44,2,1,1,"Novo Mondubim, Fortaleza","Ótimo apartamento no Mondubim com ampla sala, 2 quartos, wc social, cozinha, 1 vaga."
310000,72,3,3,2,"Rua José de Borba Vasconcelos, Papicu","Excelente apto compacto no Papicu vizinho ao Shopping RioMar!! Atravesse a rua e tenha todo o conforto de um shopping moderno a sua disposição. Vários serviços como Detran, bancos,..."
128000,58,3,1,1,"Messejana, Fortaleza","O apartamento no bairro Messejana 2º andar, com 58,00m² sala, 03 quartos sendo 1 suite e 1 banheiro, 01 vaga de garagem. corretor Djalma."
320000,114,3,2,2,"Rua Catão Mamede, Aldeota","Excelente Apartamento na Aldeota. More na Aldeota a poucos metros da Av. Heráclito Graça, em uma apartamento de 114m2 super espaçoso, com piso todo no granito, móveis fixos, com 3..."
434724,73,3,2,2,"Rua Armando Dall'olio, Engenheiro Luciano Cavalcante","O apartamento no bairro Engenheiro Luciano Cavalcante tem 73 metros quadrados com 3 quartos sendo 1 suite e 2 banheirosPossui academia, espaço gourmet, área verde de jardim, pl..."
190000,140,3,4,2,"Cocó, Fortaleza","Apartamento com localização Privilegiada, próximo ao Iguatemi, Parque do Cocó, Colégios Christus, Ari de Sá, 7 de Setembro, Comunidade Católica Face de Cristo e Parque do Cocó.Marc..."
128000,58,3,2,1,"Messejana, Fortaleza","Ótimo apartamento na Messejana com ampla sala, 3 quartos sendo 1 suíte, wc social, cozinha, 1 vaga.Ótima localização.Aceita financiamento caixa."
399000,58,2,2,1,"Rua Antônio Atualpa Rodrigues, Praia do Futuro II",O apartamento no bairro Praia do Futuro II possui 58 metros quadrados com 2 quartos sendo 2 suites e 2 banheiros.Lazer completo!!!Frente ao Mar!!!!
460000,70,3,2,2,"Rua Osvaldo Cruz, Meireles","O apartamento está localizado no bairro Meireles tem 70 metros quadrados com 3 quartos sendo 1 suite e 1 banheiroPossui salão para festas e eventos, parquinho com diferentes br..."
529000,78,3,2,2,"Rua Silva Paulet, Aldeota","Residencial Silva Paulet - AldeotaApartamento projetado com 77,37m² contendo: 03 quartos sendo uma suíte, wc social, sala estar/jantar, varanda, cozinha e área de serviço...."
200000,98,3,3,1,"Rua João Sorongo, Montese","Apartamento à venda MonteseOportunidade, ótimo apartamento no Montese, a 50 metros da Rua Alberto Magno e a 150 da Rua Gomes de Matos, excelente localização, fácil acesso. -"
168000,69,2,1,1,"Rua Tibúrcio Pereira, Cajazeiras","O apartamento no bairro Cajazeiras tem 69 metros quadrados com 2 quartos sendo 1 suite e 1 banheiroPossui jardim, salão de festas, playground.Interfone, cerca elétrica, gua..."
160000,44,2,1,1,"Avenida Godofredo Maciel, Maraponga","Ótimo apartamento na Maraponga nascente, com ampla sala, 2 quartos, wc social, cozinha, 1 vaga.Área de lazer completa.Aceita financiamento caixa."
499000,75,3,1,2,"Joaquim Tavora, Fortaleza","O apartamento no bairro Joaquim Távora possui 75 metros quadrados com 3 quartos sendo 1 suite e 1 banheiro. Fica a alguns minutos de farmácias, universidades, padarias, estádios, h..."
185000,52,2,1,1,"Cajazeiras, Fortaleza","Lindo apartamento nas Cajazeiras, com 2 ou 3 quartos, realize seu sonho de morar numas das melhores regiões de Fortaleza, confira essa novidade.Conta com:📐 52,00 m² de..."
440000,55,2,2,1,"Rua Frei Mansueto, Meireles","O apartamento no bairro Meireles tem 55 metros quadrados com 2 quartos sendo 1 suite e 2 banheirosprédio com piscina , academia, salão de festas, home officevalor R$ 100.00..."
430000,59,2,2,1,"Rua Antônio Atualpa Rodrigues, Praia do Futuro II","Apto com 58 m,² com 2 dormitórios sendo 1 suítes,2 banheiros e 1 vaga .Lindo, vista estonteante e exuberante ideal para investidor que pretende ingressar no mercado de aluguel por..."
480000,77,2,3,2,"Rua Doutor José Lourenço, Meireles","Apartamento localizado em área residencial, com infraestrutura de lazer completa. Armários planejados em ótimo estado de conservação"
Sob consulta,127 - 130,3,4,3,"Rua Carolina Sucupira, Aldeota",O bom da vida é azul. Venha viver um sonho azul!!Todo bairro um dia já desejou ser a Aldeota. E isso não é por acaso. Aqui o charme e as facilidades construíram um verdadei...
Sob consulta,150,4,5,3,"Rua Vicente Linhares, Aldeota","Imagine um condomínio onde a vida prática está totalmente interligada com o conforto, estilo de vida moderno e em absoluta segurança. Visualize uma localização perfeita para a rapi..."
Sob consulta,101 - 117,3,2,2,"Rua Silva Jatahy, Meireles","CONDOMÍNIO ALBAMARLOCALIZAÇÃO RUA SILVA JATAHY N°707 - MEIRELES - FORTALEZA/CE12 unidades, sendo 8 unidades de 101,16m2 e 4 unidades de 117,87m2"
495000,126,3,5,2,"Rua Gothardo Moraes, De Lourdes","Excelente apartamento no Edifício Dunas Hills, andar alto, com 3 suítes, lavado, ótima sala em L, com ampla varanda, toda a área do apartamento com piso em granito, cozinha bem esp..."
280000,64,3,2,2,"Rua Henrique Autran, Monte Castelo","Apartamento 64 m, duas garagens, todo reformado em porcelanato, com armários e cozinha primeira linha. 3 quartos, 2 banheiros, cozinha americana, varanda. Área comum com amplo jard..."
380000,162,3,3,2,"Rua Lauro Maia, Fátima","Apartamento todo reformado, cozinha projetada, dependência de empregada completa, área de serviço, sala ampla com varanda, 2 vagas paralelas, o imóvel situado em rua tranquila próx..."
529000,77,3,2,2,"Rua Silva Paulet, Aldeota","Super bem localizado!Área Privativa de 77 m² com 03 Quartos ( 01 Suíte ), Wc Social, Varandão, Sala de Estar e Jantar, Cozinha e Área de Serviço,Lazer completo: Pis..."
430000,81,3,3,2,"Avenida Washington Soares, Edson Queiroz","Apartamento de 81 metros quadrados no bairro Edson Queiroz, vizinho a Unifor e Centro de eventos. Com 3 quartos sendo 3 suítes e 3 banheiros. Possui área de fitness, área verde..."
434724,73,3,2,2,"Rua Armando Dall'olio, Engenheiro Luciano Cavalcante","O apartamento no bairro Engenheiro Luciano Cavalcante tem 73 metros quadrados com 3 quartos sendo 1 suite e 2 banheirosPossui academia, espaço gourmet, área verde de jardim, pl..."
395000,75,2,3,2,"Rua Professor Jacinto Botelho, Guararapes","Venha viver no melhor do Guararapes, a poucas quadras do Iguatemi. Sua família merece o conforto e a segurança do Parc de Liberté.Apartamento com 75,86m², muito bem decorad..."
744202,88,3,3,2,"Rua Professora Francisca Almeida de Sousa, Fortaleza","Marzzano: O lugar perfeito para sua felicidade está aqui, em apartamentos de 2 ou 3 suítes e com uma sensacional vista para o mar, no bairro Dunas.É uma das regiões que mais se..."
190000,67,3,2,1,"Rua Ipê, Fortaleza","O apartamento no bairro São Gerardo possui 67 metros quadrados com 3 quartos sendo 1 suite e 2 banheirosPossui espaço para festas, parquinho com diferentes brinquedos.Vai l..."
520000,74,3,3,2,"Rua Frei Mansueto, Meireles","Preço de Oportunidade!!! M2 mais barato da região em comparação aos concorrentes. Apartamento com 74m², 03 suítes sendo 01 reversível (master com split, closet e sacada), armár..."
499000,72,3,3,2,"Rua Francisco Xerez, Guararapes","Localizado no bairro Guararapes com 72 metros quadrados com 3 quartos sendo 2 suites e 3 banheirosO privilégio de morar bem, perto de tudo, a 500 m do Shopping Iguatemi e com t..."
575000,135,3,5,3,"Rua Beni Carvalho, Aldeota","excelente apartamento de 135m² localizado no bairro Aldeota e próximo a farmácias, padarias, escolas, supermercados, postos de gasolina e etc. Um apartamento por andar com três dor..."
600000,84,3,3,2,"Rua Vilebaldo Aguiar, Cocó","Este condomínio maravilhoso é novo e pronto para morar no Cocó!Próximo ao Shopping Rio Mar, Faculdade Fanor, Praia do Futuro.O condomínio tem 3 torres e uma área de lazer m..."
440000,122,3,3,2,"Avenida Rogaciano Leite, Salinas",Localização privilegiada por estar a poucos metros do Iguatemi e por estar próximo aos principais serviços sendo uma via de fácil acesso para qualquer região da nossa capital. Apar...
560000,127,3,3,2,"Rua Gothardo Moraes, De Lourdes","Apartamento, Área Total: 208.83m², Área Comum: 81.69m², Área Privativa/Construída: 127.14m², 3 dormitórios, 3 suítes, 2 garagens, Acabamento em Gesso, Ar Condicionado, Área de Serv..."
230000,127,3,3,1,"Rua Antônio Augusto, Meireles","Apartamento fica localizado na aldeota, 3 quartos"" possui 3 dormitórios, 1 suíte, 3 banheiros, 1 vaga na garagem.condomínio por R$440,00, 127m² de área privativa. - 4º andar (escad..."
200000,56,2,1,1,"Rua Bélgica, Maraponga",
460000,168,3,4,2,"Rua Nunes Valente, Aldeota","Prédio de duas esquinas (Padre Quinderé e Afonso Celso), três quartos, sendo duas suítes, sala ampla, varanda, cozinha, completo de armários. Muito bem conservado. Duas vagas de ga..."
514000,74,3,2,2,"Rua Frei Mansueto, Meireles","Ed. Marees Excelente Oportunidade a poucas quadras da Av. Beira Mar, próximo a supermercado, restaurantes, farmácia, lotérica, apartamento com 74m² área construída, sala, varan..."
220000,63,3,1,1,"Rua Joaquim Jerônimo, Maraponga","More em um ambiente completo que lhe proporcione conforto, segurança e liberdade, condomínio fechado, 2 quartos e 1 suíte área de lazer completa, água luz e gás individuais. Aparta..."
250000,60,3,2,1,"Rua Mília Veras, Cidade dos Funcionários","Totalmente nascente, com ventilação magnífica. 3º andar.Com 3 quartos, sendo uma suíte, banheiro social reversível, ampla sala em L, cozinha americana e área de serviço. Varand..."
1516285,156,3 - 4,4,3,"Rua Vicente Linhares, Aldeota","O La Reserve, em Fortaleza, é um empreendimento único e exclusivo. Com espaçosos apartamentos de 156 m² privativos e 3 ou 4 suítes e 3 vagas o La Reserve conta ainda com diversas o..."
580000,80 - 181,2,2,1 - 2,"Rua da Paz, Mucuripe","Edifício Hipérion, com entradas pela Avenida Abolição e Rua da Paz, medindo de (80m² a 181m²) e a poucos metros da Beira Mar, é sua melhor opção quando o assunto é requinte e sofis..."
Sob consulta,104,1 - 3,1 - 3,1 - 2,"Rua Aluysio Soriano Aderaldo, Cocó","Já pensou em mora com uma vista para o maior parque Ecológico de FORTALEZA?O Edifício Alameda do Cocó fica de frente ao parque do Cocó, com uma vista sensacional da natureza."
260000,65,3,2,1,"Parquelândia, Fortaleza","Apartamento de 3 quartos à venda no bairro Parquelândia em Fortaleza.Sempre quis morar perto da Av. Bezerra de Menezes, próximo a bancos, farmácias, supermercados e o colég..."
250000,84,3,2,1,"Rua Capitão Olavo, Aerolândia","APARTAMENTO MOBILIADO e reformado, 3 suítes (2 reversíveis - conforme planta baixa), móveis novos ou em perfeito estado, primeiro andar (apenas um lance de escada), extremamente il..."
270000,65,3,2,2,"Messejana, Fortaleza","Edifício Sant Angeli na região da Messejana, que junta bom gosto e conforto para quem precisa!Conta com:65 m² de área construída2 Suites2 BanheirosSalaCozin..."
350000,112,3,3,2,"Rua Marechal Deodoro, Benfica",O apartamento está localizado no bairro Benfica tem 112 metros quadrados com 3 quartos sendo 1 suite e 3 banheirosPossui salão para festas e eventos.Elevador que garante o tran...
247000,76,3,2,2,"Rua das Carnaúbas, Passaré","Excelente apartamento de 76m² no Passaré, atrás do banco do Nordeste. Próximo ao Castelão, academia Green Life, colégio, supermercado, farmácia... Prédio novinho! Só com 1 ano de c..."
285000,120,4,3,3,"Rua Lauro Maia, Jóquei Clube","Apartamento com 4 Dormitórios, 1 Suíte, 3 Garagens, 3 Banheiros, Ar Condicionado, Área de Serviço, Banheiro Auxiliar, Cozinha americana, Dependência de Empregada, 14"
530000,106,3,1,2,"Rua Carlos Vasconcelos, Aldeota","O apartamento está localizado no bairro Aldeota tem 106 metros quadrados com 3 quartos sendo 3 suites e 1 banheiro. Fica a alguns minutos de restaurantes, museus, hospitais, hospit..."
255000,60,2,2,1,"Rua dos Tabajaras, Fortaleza",O apartamento está localizado no bairro Praia de Iracema possui 60 metros quadrados com 2 quartos sendo 2 suites e 2 banheirosPossui varanda.Vai lhe possibilitar todo o con...
710000,90,3,2,2,"Rua Osvaldo Cruz, Fortaleza","Que tal morar na melhor região da aldeota com vantagens e condições especiais para você, além de grandes experiencias em conforto e segurança para você e sua família. Consulte noss..."
260000,78,3,2,2,"Rua Margarida Maria, Presidente Kennedy","Apartamento à venda no bairro São Gerardo, um bairro situado na Zona Oeste de Fortaleza é considerado um bairro de classe média e sus moradores possuem acesso à serviços de variado..."
379000,70,2,3,2,"Rua Consuelo Freire, Parque Iracema","Apartamento com área de 70m2, 2 suítes e com moveis projetados. Condomínio com excelente área de lazer, academia, jardim, área de recreação infantil, salão para festa e piscina."
200000,75,3,3,1,"Rua Otávio Ferreira Machado, Papicu","Excelente apartamento com 3 quartos sendo 2 suítes sala ampla cozinha americana piso em cerâmica bem localizado próximo a hospitais , supermercados e padarias e colégios de fácil a..."
210000,69,3,3,1,"Rua Júlio César, Damas","Apartamento térreo de 69,37m²;, com 3 quartos sendo 02 suítes, banheiro social, cozinha, área de serviço, lavanderia, 01 vaga de garagem.Condomínio dispõe de salão de festas, quadr..."
190000,63,2,,1,"Avenida Presidente Juscelino Kubitschek, Passaré","Apartamento no terceiro andar. Dois quartos, sendo uma suíte. Lazer completo. Piscina, deck, salão de festas e acadêmia."
350000,70,3,3,2,"Rua do Anjo Branco, Cambeba","O apartamento está localizado no bairro Cambeba tem 70 metros quadrados com 3 quartos sendo 2 suites e 3 banheirosPossui academia, espaço gourmet, jardim, área de brinquedo par..."
729000,118,3,1,2,"Rua General Melo Machado, Aldeota","O apartamento no bairro Aldeota tem 118 metros quadrados com 3 quartos sendo 2 suites e 1 banheiro. Fica a alguns minutos de transporte coletivo, hospitais, universidades, farmácia..."
195000,104,3,3,2,"Rua Paulo Firmeza, São João do Tauape","104,00 m² de área privativa, sala em dois ambientes (estar/ jantar), três dormitórios sociais, sendo uma suíte, banheiro social, cozinha, área de serviço, dependência completa de e..."
349000,68,3,2,1,"Rua Arquiteto Reginaldo Rangel, Papicu","Apartamento, Área Privativa: 68.26m², 3 dormitórios, 1 suíte, 1 garagem, Área de Serviço, Armário Banheiro, Armário Closet, Armário Cozinha, Banheiro Social, Cerca Elétrica, Cozinh..."
215000,56,2,2,1,"Rua Zuca Accioly, Manoel Dias Branco","Apartamento de 56 m² no Costa Atlântica Condomínio Clube, no bairro Dunas, uma região com excelente localização em Fortaleza, conhecida por sua completa infraestrutura comercial, f..."
570000,76,3,2,1,"Travessa Antônio Augusto, Praia de Iracema","Sua chance de viver no endereço mais charmoso de Fortaleza, no coração da Praia de Iracema. O Edifício Piazza Coliseu trás para você mais conforto e qualidade de vida, a 100 metros..."
750000,245,3,5,5,"Rua Marcos Macêdo, Aldeota","Direto com o proprietário, cobertura no Condomínio Imperial Park 10 andar, Apto com 245,5m2, 3 suítes mais dependência e área de serviço, closet, 5 Vagas de garagem, localizado em..."
758000,109 - 110,4,4,2,"Rua Doutor Gilberto Studart, Cocó","A exclusividade de morar em um edifício com apenas 62 apartamentos, elaborados com requinte, aliando funcionalidade e elegância, qualidade e beleza, para seu total bem-estar.A..."
Sob consulta,72,3,4,2,"Rua Francisco Xerez, Guararapes","Um empreendimento em perfeita harmonia com você.O privilégio de morar bem, perto de tudo.O compasso certo entre conforto e segurança."
170000,47 - 58,2,1 - 2,1,"Rua Governador João Carlos, Serrinha","Apartamento para morar com 2 quartos/suíte na região do grande Montese - Fortaleza - CEO Teraluz Residence tem uma localização excepcional e muito central, na Rua Gov. João..."
349000,68,3,2,1,"Rua Arquiteto Reginaldo Rangel, Papicu","Apartamento, Área Privativa: 68.26m², 3 dormitórios, 1 suíte, 1 garagem, Área de Serviço, Armário Banheiro, Armário Closet, Armário Cozinha, Banheiro Social, Cerca Elétrica, Cozinh..."
260000,100,3,3,1,"Rua César Fonseca, Papicu","Apartamento reformado!Todos os banheiros novos e piso da sala, cozinha e lavanderia trocados!Próximo ao parque do cocó, praças e do shopping rio mar, próximo a padarias, su..."
117000,51,2,1,1,"Serrinha, Fortaleza","Mega Prime Vende Apto 02 Qtos, wc social, sala de estar, sala de jantar, cozinha americana, área de serviço, playground, salão de festas, 01 vaga de garagem, próximo à Regional V...."
215000,56,2,2,1,"Rua Zuca Accioly, Manoel Dias Branco","Apartamento de 56 m² no Costa Atlântica Condomínio Clube, no bairro Dunas, uma região com excelente localização em Fortaleza, conhecida por sua completa infraestrutura comercial, f..."
570000,76,3,2,1,"Travessa Antônio Augusto, Praia de Iracema","Sua chance de viver no endereço mais charmoso de Fortaleza, no coração da Praia de Iracema. O Edifício Piazza Coliseu trás para você mais conforto e qualidade de vida, a 100 metros..."
319000,85,3,3,2,"Rua Rocha Lima, Aldeota",
399000,98,2,2,1,"Guararapes, Fortaleza",98 metrosDispensaDependência de empregada1 vaga2 quartos (1 suíte)1 banheiro socialSala em LPiso granito na salaNascente -
240000,100,3,2,1,"Aldeota, Fortaleza","Excelente imóvel com 100m², próximo a Normatel da Av. Santos Dumont, nascente, no granito, 3 quartos(1 suíte), wc social, dce, 1 vaga. -"
380000,80,2,2,2,"Rua Doutor Gilberto Studart, Cocó","Venda -Edifício Green Palace.Apartamento com 80m² com duas suítes ,suíte máster com closet, sala, cozinha, área de serviço, varanda, com moveis projetado, ponto de ar condicion..."
190000,60,2,2,2,"Rua Ramos Botelho, Papicu",Edifício Acropole II - Papicu Localizado em uma das melhores regiões de Fortaleza o Edifício Acropole II proporciona ao seus condôminos uma maior praticidade pois se encontra p...
550000,78,3,2,2,"Rua Doutor Francisco Gadelha, Fortaleza","Ótimo apartamento no Luciano Cavalcante com ampla sala, 3 quartos sendo 1 suíte, wc social, cozinha, 2 varandas, nascente, 2 vagas.Área de lazer com piscina, espaço fitness, sa..."
599000,145,3,4,2,"Rua Vicente Linhares, Aldeota","OLAVO BRASIL Apartamento nascente muito bem localizado com 145m² de área privativa 2 vagas paralelas.;3 amplas suítes com closet, sala com piso no granito para 3 ambientes com..."
420000,74,3,2,2,"Rua Luiza Miranda Coelho, Engenheiro Luciano Cavalcante",LOCALIZAÇÃO PRIVILEGIADA É TER O MELHOR DA VIDA PERTO DE VOCÊ.Morar no Guararapes é um verdadeiro privilégio. Por unir a qualidade de vida de um bairro tranquilo e arboriza...
299000,78,2,2,1,"Papicu, Fortaleza",
590000,99,3,3,2,"Rua Silva Paulet, Aldeota","Super bem localizado!Próximo de Supermercados, Bancos, Escolas, Academias, e muito mais.Área Privativa de 99 m² com 03 Quartos (02 Suítes / Uma Reversível), Sala Es..."
310000,355,1,1,1,"Rua Antônio Atualpa Rodrigues, Antônio Diogo","1 VAGAS GARAGEM, 1 SUÍTES,SALA,COZINHA, CONDOMINIO 0,PISCINA EM CONDOMINIO,SALAO DE FESTAS EM CONDOMINIO, 1 VAGAS GARAGEM EM CONDOMINIO"
340000,116,3,1,3,"Rua Catão Mamede, Aldeota","116 metros sendo três quartos suite e outra reversível comvaranda, sala, copa, cozinha DCE de empregada completa, área de serviço com três vagas independentes documentação..."
590000,94,3,3,2,"Rua José Rangel, Papicu","O apartamento no bairro Papicu tem 94 metros quadrados com 3 quartos sendo 3 suites e 3 banheiros. A apenas alguns instantes de transporte coletivo, universidades, estacionamentos,..."
470000,128,3,4,2,"Cocó, Fortaleza","- 3 SUÍTES- 2 VAGAS- 2 ELEVADORES- 9 ANDARES- 2 POR ANDAR- DEPENDÊNCIA- 127,55 m²- QUADRA- CHURRASQUEIRA- PLAYGROUND Escolher o imóvel ideal é a..."
185000,52,2,1,1,"Cajazeiras, Fortaleza","Lindo apartamento nas Cajazeiras, com 2 ou 3 quartos, realize seu sonho de morar numas das melhores regiões de Fortaleza, confira essa novidade.Conta com:📐 52,00 m² de..."
420000,116,3,4,2,"Salinas, Fortaleza","Empreendimento: Ed. JARDINS DE FRIBURBO Varanda, Sala, 03 Suite ( 01 Reversível) , Cozinha, Escritório, Área De Serviço, 02 Vagas. ? Ampla Área De Lazer Com: Piscina, Deck, Churras..."
1220974,152 - 189,3 - 4,3 - 4,3 - 4,"Rua Gontran Giffoni, Guararapes","Entre linhas arquitetônicas brotam a elegância e o conforto, a funcionalidade e o aconchego para ocupar os espaços generosos para toda a família. Living Garden é assim, um grande e..."
Sob consulta,164,3,1,4,"Rua Romeu Aldigueri, Guararapes","Reúne todos os seus desejos e supera todas suas expectativas. Ao lançar o primeiro edifício ecológico de Fortaleza, o Greenlife, a Idibra mais uma vez mostrou sua marca de inov..."
774000,123,3,3,2 - 3,"Rua Bento Albuquerque, Cocó","O prazer de morar em um apartamento com planta diferenciada, 123 m², 3 suítes, sala ""boca larga"", gabinete, lavabo, DCE e rouparia. Um home club que a Construtora Ara traz para voc..."
180000,70,3,3,1,"Cajazeiras, Fortaleza","Apartamento em ótima localização com 69,64m² de área construída, 3 quartos sendo 1 suíte, área de serviço, cozinha tradicional, WC social, Quadra de esporte e salão de festa. -"
122000,46,2,1,1,"Avenida Bernardo Manuel, Parque Dois Irmãos",??QUANTO VOCÊ PAGA DE ALUGUEL? 500 | 600 | 700 ... ???? ?? ??PROGRAMA MINHA CASA MINHA VIDA ?NÃO É SORTEIO ??PRESTAÇÕES MENORES QUE ALUGUEL COM SUBSIDIO A PARTIR R$ 31.200 ??BASTA...
